Likes and Reactions,Followed Accounts,Time Spent Online (hrs/weekday),Time Spent Online (hrs/weekend),Click-Through Rates (CTR),Conversion Rates,Ad Interaction Time (sec),DIY Crafts,Data Science,Digital Marketing,Eco-Friendly Living,Fashion Modelling,Fitness and Wellness,Gaming,Gardening,Gourmet Cooking,Investing and Finance,Music Production,Pet Care,Photography,Reading and Literature,Software Engineering,Travel and Adventure,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_Male,Location_Suburban,Location_Urban,Language_Hindi,Language_Mandarin,Language_Spanish,Education Level_High School,Education Level_Master,Education Level_PhD,Education Level_Technical,Device Usage_Mobile + Desktop,Device Usage_Mobile Only,Device Usage_Tablet,Income Level_100k+,Income Level_20k-40k,Income Level_40k-60k,Income Level_60k-80k,Income Level_80k-100k,Segment
5640,190,4.5,1.7,0.193,0.067,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,3
9501,375,0.5,7.7,0.114,0.044,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1
4775,187,4.5,5.6,0.153,0.095,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,1
9182,152,3.1,4.2,0.093,0.061,65,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,1
6848,371,2.0,3.8,0.175,0.022,99,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,3
6203,257,3.8,3.3,0.209,0.048,44,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,1
1573,136,2.8,7.9,0.172,0.068,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1
3343,272,2.7,1.9,0.128,0.032,35,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
2281,49,1.0,3.2,0.115,0.008,159,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,3
9741,421,2.3,4.4,0.161,0.058,157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1
3196,425,1.6,4.3,0.17,0.095,73,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
6746,364,0.6,4.3,0.14,0.049,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
9882,264,2.1,2.2,0.156,0.091,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,1
5982,152,0.9,2.0,0.024,0.084,119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,3
6082,249,1.7,2.8,0.238,0.015,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,3
5898,237,0.9,7.4,0.198,0.071,12,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,1
9727,350,1.0,1.8,0.093,0.044,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
8515,207,1.4,6.3,0.141,0.025,19,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,3
8511,74,5.0,6.3,0.012,0.069,109,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,1
9946,397,0.5,6.7,0.01,0.074,11,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,1
8556,20,3.4,7.2,0.063,0.018,76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0
9245,117,1.1,2.8,0.172,0.091,119,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,2
4624,35,4.6,2.6,0.213,0.075,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1
6659,454,0.9,4.3,0.14,0.093,169,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,1
7720,430,4.8,2.9,0.133,0.032,87,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,1
2874,160,3.2,6.1,0.101,0.094,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,2
5773,230,0.5,5.5,0.04,0.037,138,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,3
3224,350,4.5,7.1,0.03,0.005,61,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
8771,246,2.8,1.6,0.19,0.076,96,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
1453,246,1.7,7.4,0.232,0.07,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,3
9181,228,4.0,3.1,0.115,0.06,151,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,1
3954,496,4.7,4.4,0.165,0.049,131,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,3
8234,433,2.7,4.1,0.229,0.003,163,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,1
1024,470,1.9,6.3,0.023,0.062,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0
2270,160,4.1,3.9,0.193,0.042,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,1
5606,132,3.6,7.6,0.154,0.056,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,1
2495,153,4.5,7.3,0.15,0.043,111,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
8320,487,3.6,7.1,0.073,0.097,91,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,3
8326,198,1.6,1.5,0.171,0.06,71,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1
5615,264,4.7,7.0,0.199,0.075,66,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,2
2770,77,1.0,6.5,0.028,0.094,135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
3465,113,1.7,1.7,0.133,0.059,150,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1
688,345,2.8,1.8,0.025,0.001,157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,1
3238,168,3.0,1.7,0.218,0.003,111,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,2
9195,318,0.6,1.1,0.127,0.07,152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,2
6763,371,4.0,4.8,0.202,0.028,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
4186,418,2.1,7.8,0.092,0.058,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,1
8631,309,2.3,4.1,0.031,0.02,125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
4370,405,4.1,4.8,0.01,0.027,83,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,1
6119,99,2.2,7.8,0.07,0.05,14,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1
656,366,0.7,2.8,0.061,0.098,153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1
8122,265,1.3,7.0,0.14,0.062,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1
5552,362,4.8,4.8,0.005,0.094,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,2
3667,229,0.8,5.0,0.13,0.096,14,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2
3999,18,2.1,3.4,0.098,0.021,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,3
6577,21,2.8,4.9,0.144,0.031,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,1
7600,334,2.7,1.5,0.176,0.077,155,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,2
1116,447,0.5,6.4,0.159,0.087,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0
6570,253,2.8,3.0,0.246,0.052,136,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,1
2162,191,2.2,7.2,0.035,0.099,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
9130,293,4.9,3.6,0.107,0.001,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,1
9929,321,1.2,2.0,0.106,0.03,89,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1
4421,108,2.1,5.9,0.104,0.062,57,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,2
3596,206,2.4,2.2,0.166,0.047,134,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0
1913,491,2.3,6.3,0.122,0.012,72,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,0
6356,375,3.5,7.8,0.129,0.037,83,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
9743,235,1.5,6.5,0.108,0.003,61,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,2
2413,342,1.5,1.2,0.248,0.064,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0
9806,112,3.8,5.2,0.232,0.089,139,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1
1331,115,2.8,5.9,0.077,0.088,151,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,1
9937,374,2.4,6.8,0.028,0.07,176,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,3
5931,377,1.3,1.4,0.21,0.047,67,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,3
3099,67,1.3,4.4,0.249,0.051,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,2
3540,87,0.5,4.7,0.073,0.014,43,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,0
4156,84,0.9,2.2,0.089,0.034,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,2
405,51,3.0,3.3,0.235,0.019,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,1
1789,431,4.5,4.1,0.178,0.082,176,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,1
9809,333,1.8,6.8,0.074,0.091,16,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,1
